,POS_Tweet,class
0,woman shouldnt complain cleaning house amp man always take trash,2
1,boy dats coldtyga dwn bad cuffin dat hoe st place,1
2,sbabylife ever fuck bitch start cry confused shit,1
3,vivabased look tranny,1
4,shit hear true faker bitch told ya,1
5,shit blows meclaim faithful somebody still fucking hoes,1
6,sit bitch got much shit going,1
7,cause tired big bitches coming skinny girls,1
8,amp get ya bitch back amp thats,1
9,hobbies include fighting,1
10,bitch curves everyone lol walked conversation,1
11,bitch,1
12,so hoes smoke losers yea go,1
13,bad bitches thing,1
14,bitch get,1
15,bitch nigga miss,1
16,bitch plz,1
17,bitch love,1
18,bitches get cut everyday,1
19,black bottle amp bad bitch,1
20,broke bitch cant tell nothing,1
21,cancel bitch,1
22,cant see hoes wont change,1
23,fuck bitch dont even suck dick videos bout fuck,1
24,got bitch tip toeing hardwood floors,1
25,pussy lips doors,1
26,hoe hitting,1
27,met pussy gave pussy pill,1
28,need trippy bitch fuck,1
29,spend money want bitch business,1
30,txt old bitch new bitch pussy wetter,1
31,id say im back old old bitches get excited,1
32,aint bout pussy nigga shut,1
33,youre toes aint done pussy stinks,1
34,im done bitter bitches wrap angry bird theres app,1
35,ya bitch,1
36,aint nothing cut bitch,1
37,jus meet son mane ass bitches,1
38,lames crying hoes thats tears clown,1
39,said dont love hoes,1
40,momma said pussy cats doghouse,2
41,hated hoes favorite sevenone,1
42,nice girls bad make get naughty hoe real nice body south chick em real thick,1
43,pimps pimps hoes future voice,1
44,post picture pussy get likes,1
45,pussy powerful drug,1
46,quick piece pussy call drive,1
47,running round brand new pussy thats bout get fucked,1
48,bitches even worst theyll send guys,1
49,hoes niggas spend money talk,1
50,dont trust niggas bitches,1
51,yall niggas b cuffing hoes cause aint never bitches,1
52,dodge bullet da bitches cut pregnant thank,1
53,young bitches love music,1
54,probably cleaner twitter hoes,1
55,couldnt wait act bitches tonight,1
56,ima steal cat n replace pitbull bitch,1
57,amp hes gone always hoe,1
58,bitch took movie,1
59,wan na get money fuck model bitches simmons,1
60,probably mind school much didnt deal bitch ass teachers,1
61,fucking fag said,1
62,females think dating pussy cute stuff make pussy,1
